,author,title
0,"Le Fanu, Joseph Sheridan",Carmilla
1,"Le Fanu, Joseph Sheridan",The Evil Guest
2,"Le Fanu, Joseph Sheridan",Madam Crowl's Ghost and the Dead Sexton
3,"Le Fanu, Joseph Sheridan",Green Tea;  Mr. Justice Harbottle
4,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 1"
5,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 2"
6,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 3: The Haunted Baronet (1871)"
7,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 5"
8,"Le Fanu, Joseph Sheridan","J. S. Le Fanu's Ghostly Tales, Volume 4"
9,"Le Fanu, Joseph Sheridan",Two Ghostly Mysteries: A Chapter in the History of a Tyrone Family; and the Murdered Cousin
10,"Le Fanu, Joseph Sheridan",Uncle Silas: A Tale of Bartram-Haugh
11,"Le Fanu, Joseph Sheridan",The House by the Church-Yard
12,"Le Fanu, Joseph Sheridan","A Stable for Nightmares; or, Weird Tales"
13,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 1/3"
14,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 2/3"
15,"Le Fanu, Joseph Sheridan","In a Glass Darkly, v. 3/3"
16,"Le Fanu, Joseph Sheridan",Checkmate
17,"Le Fanu, Joseph Sheridan",The Cock and Anchor
18,"Le Fanu, Joseph Sheridan","The Watcher, and other weird stories"
19,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 1
20,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 2
21,"Le Fanu, Joseph Sheridan",The Purcell Papers — Volume 3
22,"Le Fanu, Joseph Sheridan",The Room in the Dragon Volant
23,"Le Fanu, Joseph Sheridan",Wylder's Hand
24,"White, Stewart Edward",The Mystery
25,"White, Stewart Edward",The Claim Jumpers: A Romance
26,"White, Stewart Edward",The Riverman
27,"White, Stewart Edward",The Call of the North
28,"White, Stewart Edward",The Forty-Niners: A Chronicle of the California Trail and El Dorado
29,"White, Stewart Edward",The Rules of the Game
30,"White, Stewart Edward",The Land of Footprints
31,"White, Stewart Edward",African Camp Fires
32,"White, Stewart Edward",The Silent Places
33,"White, Stewart Edward",The Killer
34,"White, Stewart Edward",Conjuror's House: A Romance of the Free Forest
35,"White, Stewart Edward","Blazed Trail Stories, and Stories of the Wild Life"
36,"White, Stewart Edward",The Adventures of Bobby Orde
37,"White, Stewart Edward",Gold
38,"White, Stewart Edward",Camp and Trail
39,"White, Stewart Edward",The Blazed Trail
40,"White, Stewart Edward",The Westerners
41,"White, Stewart Edward",The Mountains
42,"White, Stewart Edward",Arizona Nights
43,"White, Stewart Edward",The Sign at Six
44,"White, Stewart Edward",The Gray Dawn
45,"White, Stewart Edward",The Forest
46,"White, Stewart Edward",The Leopard Woman
47,"Cabell, James Branch",The Rivet in Grandfather's Neck: A Comedy of Limitations
48,"Cabell, James Branch",The Eagle's Shadow
49,"Cabell, James Branch",Figures of Earth: A Comedy of Appearances
50,"Cabell, James Branch",Chivalry: Dizain des Reines
51,"Cabell, James Branch",Chivalry
52,"Cabell, James Branch",The Certain Hour (Dizain des Poëtes)
53,"Cabell, James Branch",Gallantry: Dizain des Fetes Galantes
54,"Cabell, James Branch",Jurgen: A Comedy of Justice
55,"Cabell, James Branch",The Line of Love; Dizain des Mariages
56,"Cabell, James Branch",The Cords of Vanity: A Comedy of Shirking
57,"Cabell, James Branch",Domnei: A Comedy of Woman-Worship
58,"Wood, William",The Father of British Canada: a Chronicle of Carleton
59,"Wood, William",Elizabethan Sea-Dogs: A Chronicle of Drake and His Companions
60,"Wood, William",The War With the United States : A Chronicle of 1812
61,"Wood, William","Animal Sanctuaries in Labrador: An Address Presented by Lt.-Colonel William Wood, F.R.S.C. before the Second Annual Meeting of the Commission of Conservation at Quebec, January, 1911"
62,"Wood, William",Flag and Fleet: How the British Navy Won the Freedom of the Seas
63,"Wood, William",All Afloat: A Chronicle of Craft and Waterways
64,"Wood, William",Captains of the Civil War: A Chronicle of the Blue and the Gray
65,"Wood, William",The Great Fortress : A chronicle of Louisbourg 1720-1760
66,"Wood, William",The Passing of New France : a Chronicle of Montcalm
67,"Wood, William",The Winning of Canada: a Chronicle of Wolfe
68,"Hancock, H. Irving (Harrie Irving)","Dave Darrin's Second Year at Annapolis: Or, Two Midshipmen as Naval Academy ""Youngsters"""
69,"Hancock, H. Irving (Harrie Irving)","Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen"
70,"Hancock, H. Irving (Harrie Irving)","The High School Freshmen; or, Dick & Co.'s First Year Pranks and Sports"
71,"Hancock, H. Irving (Harrie Irving)","The High School Pitcher; or, Dick & Co. on the Gridley Diamond"
72,"Hancock, H. Irving (Harrie Irving)","The High School Left End; or, Dick & Co. Grilling on the Football Gridiron"
73,"Hancock, H. Irving (Harrie Irving)","The High School Captain of the Team; or, Dick & Co. Leading the Athletic Vanguard"
74,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Canoe Club
75,"Hancock, H. Irving (Harrie Irving)",The High School Boys in Summer Camp
76,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Fishing Trip
77,"Hancock, H. Irving (Harrie Irving)",The High School Boys' Training Hike
78,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Colorado; Or, At Railroad Building in Earnest"
79,"Hancock, H. Irving (Harrie Irving)",The Grammar School Boys in Summer Athletics
80,"Hancock, H. Irving (Harrie Irving)",Dave Darrin's First Year at Annapolis: Two Plebe Midshipmen at the United States Naval Academy
81,"Hancock, H. Irving (Harrie Irving)",Dave Darrin's Fourth Year at Annapolis: Headed for Graduation and the Big Cruise
82,"Hancock, H. Irving (Harrie Irving)",Dave Darrin at Vera Cruz: Fighting with the U.S. Navy in Mexico
83,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Nevada; Or, Seeking Fortune on the Turn of a Pick"
84,"Hancock, H. Irving (Harrie Irving)","The Young Engineers in Mexico; Or, Fighting the Mine Swindlers"
85,"Hancock, H. Irving (Harrie Irving)","Dick Prescott's Third Year at West Point; Or, Standing Firm for Flag and Honor"
86,"Hancock, H. Irving (Harrie Irving)","Dick Prescotts's Fourth Year at West Point: Or, Ready to Drop the Gray for Shoulder Straps"
